;; This is a kahuna data file for the year 2078
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ѧ (next year will be Т)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
9	6	248	134	216	13	13
9	7	249	135	215	13	13
9	8	250	136	214	13	13
9	9	251	137	213	13	13
9	10	252	138	212	13	13
9	11	253	139	211	13	13
9	12	254	140	210	13	13
9	13	255	141	209	14	14
9	14	256	142	208	14	14
9	15	257	143	207	14	14
9	16	258	144	206	14	14
9	17	259	145	205	14	14
9	18	260	146	204	14	14
9	19	261	147	203	14	14
9	20	262	148	202	15	18
9	21	263	149	201	15	18
9	22	264	150	200	15	18
9	23	265	151	199	15	18
9	24	266	152	198	15	18
9	25	267	153	197	15	18
9	26	268	154	196	15	18
9	27	269	155	195	16	19
9	28	270	156	194	16	19
9	29	271	157	193	16	19
9	30	272	158	192	16	19
10	1	273	159	191	16	19
10	2	274	160	190	16	19
10	3	275	161	189	16	19
10	4	276	162	188	17	20
10	5	277	163	187	17	20
10	6	278	164	186	17	20
10	7	279	165	185	17	20
10	8	280	166	184	17	20
10	9	281	167	183	17	20
10	10	282	168	182	17	20
10	11	283	169	181	18	21
10	12	284	170	180	18	21
10	13	285	171	179	18	21
10	14	286	172	178	18	21
10	15	287	173	177	18	21
10	16	288	174	176	18	21
10	17	289	175	175	18	21
10	18	290	176	174	19	22
10	19	291	177	173	19	22
10	20	292	178	172	19	22
10	21	293	179	171	19	22
10	22	294	180	170	19	22
10	23	295	181	169	19	22
10	24	296	182	168	19	22
10	25	297	183	167	20	23
10	26	298	184	166	20	23
10	27	299	185	165	20	23
10	28	300	186	164	20	23
10	29	301	187	163	20	23
10	30	302	188	162	20	23
10	31	303	189	161	20	23
11	1	304	190	160	21	24
11	2	305	191	159	21	24
11	3	306	192	158	21	24
11	4	307	193	157	21	24
11	5	308	194	156	21	24
11	6	309	195	155	21	24
11	7	310	196	154	21	24
11	8	311	197	153	22	25
11	9	312	198	152	22	25
11	10	313	199	151	22	25
11	11	314	200	150	22	25
11	12	315	201	149	22	25
11	13	316	202	148	22	25
11	14	317	203	147	22	25
11	15	318	204	146	23	26
11	16	319	205	145	23	26
11	17	320	206	144	23	26
11	18	321	207	143	23	26
11	19	322	208	142	23	26
11	20	323	209	141	23	26
11	21	324	210	140	23	26
11	22	325	211	139	24	27
11	23	326	212	138	24	27
11	24	327	213	137	24	27
11	25	328	214	136	24	27
11	26	329	215	135	24	27
11	27	330	216	134	24	27
11	28	331	217	133	24	27
11	29	332	218	132	25	28
11	30	333	219	131	25	28
12	1	334	220	130	25	28
12	2	335	221	129	25	28
12	3	336	222	128	25	28
12	4	337	223	127	25	28
12	5	338	224	126	25	29
12	6	339	225	125	26	29
12	7	340	226	124	26	29
12	8	341	227	123	26	29
12	9	342	228	122	26	29
12	10	343	229	121	26	29
12	11	344	230	120	27	30
12	12	345	231	119	29	28
12	13	346	232	118	27	15
12	14	347	233	117	27	15
12	15	348	234	116	27	15
12	16	349	235	115	27	15
12	17	350	236	114	27	15
12	18	351	237	113	26	29
12	19	352	238	112	
12	20	353	239	111	28	16
12	21	354	240	110	28	16
12	22	355	241	109	28	16
12	23	356	242	108	28	16
12	24	357	243	107	28	16
12	25	358	244	106	
12	26	359	245	105	28	30
12	27	360	246	104	29	30
12	28	361	247	103	29	30
12	29	362	248	102	29	30
12	30	363	249	101	29	30
12	31	364	250	100	29	30
1	1	0	251	99	29	31
1	2	1	252	98	26	31
1	3	2	253	97	30	31
1	4	3	254	96	30	31
1	5	4	255	95	30	31
1	6	5	256	94	30	31
1	7	6	257	93	30	31
1	8	7	258	92	30	16
1	9	8	259	91	30	16
1	10	9	260	90	31	32
1	11	10	261	89	31	32
1	12	11	262	88	31	32
1	13	12	263	87	31	32
1	14	13	264	86	31	32
1	15	14	265	85	31	17
1	16	15	266	84	31	17
1	17	16	267	83	32	33
1	18	17	268	82	32	33
1	19	18	269	81	32	33
1	20	19	270	80	32	33
1	21	20	271	79	32	33
1	22	21	272	78	32	32
1	23	22	273	77	32	32
1	24	23	274	76	33	33
1	25	24	275	75	33	33
1	26	25	276	74	33	33
1	27	26	277	73	33	33
1	28	27	278	72	33	33
1	29	28	279	71	33	33
